Local time,Open,High,Low,Close,Volume
08.01.2019 17:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 18:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 19:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 20:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 21:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 22:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
08.01.2019 23:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 00:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 01:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 02:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 03:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 04:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 05:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 06:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 07:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 08:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
09.01.2019 09:00:00.000 GMT-0500,31.787,32.122,31.517,31.920,34.7368
09.01.2019 10:00:00.000 GMT-0500,31.931,32.317,31.717,31.898,75.4591
09.01.2019 11:00:00.000 GMT-0500,31.889,32.148,31.858,32.111,65.5455
09.01.2019 12:00:00.000 GMT-0500,32.118,32.258,32.037,32.127,54.7157
09.01.2019 13:00:00.000 GMT-0500,32.128,32.240,32.008,32.129,41.5438
09.01.2019 14:00:00.000 GMT-0500,32.139,32.287,32.068,32.229,57.0031
09.01.2019 15:00:00.000 GMT-0500,32.229,32.378,32.078,32.217,50.498
09.01.2019 16:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 17:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 18:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 19:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 20:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 21:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 22:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
09.01.2019 23:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 00:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 01:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 02:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 03:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 04:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 05:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 06:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 07:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 08:00:00.000 GMT-0500,32.217,32.217,32.217,32.217,0
10.01.2019 09:00:00.000 GMT-0500,33.058,33.307,32.241,32.607,46.9696
10.01.2019 10:00:00.000 GMT-0500,32.618,33.348,32.379,32.977,72.5804
10.01.2019 11:00:00.000 GMT-0500,32.977,33.080,32.447,32.668,59.3231
10.01.2019 12:00:00.000 GMT-0500,32.658,33.018,32.557,32.901,53.1048
10.01.2019 13:00:00.000 GMT-0500,32.901,32.968,32.511,32.679,54.3454
10.01.2019 14:00:00.000 GMT-0500,32.680,33.072,32.629,32.717,59.9848
10.01.2019 15:00:00.000 GMT-0500,32.708,33.098,32.707,33.068,54.616
10.01.2019 16:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 17:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 18:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 19:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 20:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 21:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 22:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
10.01.2019 23:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 00:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 01:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 02:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 03:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 04:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 05:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 06:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 07:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 08:00:00.000 GMT-0500,33.068,33.068,33.068,33.068,0
11.01.2019 09:00:00.000 GMT-0500,32.818,33.058,32.410,32.681,41.2875
11.01.2019 10:00:00.000 GMT-0500,32.681,33.178,32.619,33.100,60.954
11.01.2019 11:00:00.000 GMT-0500,33.100,33.178,32.927,33.018,53.3738
